[train: 1, 1200 / 3750] FPS: 49.5 (49.5)  ,  DataTime: 0.009 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.323  ,  Loss/total: 1.85112  ,  Loss/giou: 0.69446  ,  Loss/l1: 0.09244  ,  IoU: 0.35050
[train: 1, 1250 / 3750] FPS: 49.5 (48.2)  ,  DataTime: 0.009 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.323  ,  Loss/total: 1.84731  ,  Loss/giou: 0.69302  ,  Loss/l1: 0.09225  ,  IoU: 0.35132
[train: 1, 1300 / 3750] FPS: 49.5 (49.7)  ,  DataTime: 0.009 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.323  ,  Loss/total: 1.84194  ,  Loss/giou: 0.69148  ,  Loss/l1: 0.09179  ,  IoU: 0.35423
[train: 1, 1350 / 3750] FPS: 49.5 (49.2)  ,  DataTime: 0.009 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.323  ,  Loss/total: 1.83991  ,  Loss/giou: 0.69059  ,  Loss/l1: 0.09175  ,  IoU: 0.35511
[train: 1, 1400 / 3750] FPS: 49.5 (49.8)  ,  DataTime: 0.009 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.323  ,  Loss/total: 1.83247  ,  Loss/giou: 0.68763  ,  Loss/l1: 0.09144  ,  IoU: 0.35570
[train: 1, 1450 / 3750] FPS: 49.5 (49.7)  ,  DataTime: 0.009 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.323  ,  Loss/total: 1.83241  ,  Loss/giou: 0.68784  ,  Loss/l1: 0.09135  ,  IoU: 0.35697
[train: 1, 1500 / 3750] FPS: 49.5 (49.9)  ,  DataTime: 0.009 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.323  ,  Loss/total: 1.82659  ,  Loss/giou: 0.68608  ,  Loss/l1: 0.09089  ,  IoU: 0.35927
[train: 1, 1550 / 3750] FPS: 49.5 (50.0)  ,  DataTime: 0.009 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.323  ,  Loss/total: 1.82466  ,  Loss/giou: 0.68569  ,  Loss/l1: 0.09065  ,  IoU: 0.36095
[train: 1, 1600 / 3750] FPS: 49.5 (46.5)  ,  DataTime: 0.009 (0.005)  ,  ForwardTime: 0.310  ,  TotalTime: 0.323  ,  Loss/total: 1.82015  ,  Loss/giou: 0.68396  ,  Loss/l1: 0.09044  ,  IoU: 0.36184
[train: 1, 1650 / 3750] FPS: 49.5 (50.1)  ,  DataTime: 0.009 (0.005)  ,  ForwardTime: 0.310  ,  TotalTime: 0.323  ,  Loss/total: 1.81651  ,  Loss/giou: 0.68240  ,  Loss/l1: 0.09034  ,  IoU: 0.36262
[train: 1, 1700 / 3750] FPS: 49.5 (50.0)  ,  DataTime: 0.009 (0.005)  ,  ForwardTime: 0.310  ,  TotalTime: 0.323  ,  Loss/total: 1.81561  ,  Loss/giou: 0.68236  ,  Loss/l1: 0.09018  ,  IoU: 0.36371
[train: 1, 1750 / 3750] FPS: 49.5 (50.4)  ,  DataTime: 0.009 (0.005)  ,  ForwardTime: 0.310  ,  TotalTime: 0.323  ,  Loss/total: 1.80955  ,  Loss/giou: 0.68001  ,  Loss/l1: 0.08991  ,  IoU: 0.36419
[train: 1, 1800 / 3750] FPS: 49.5 (50.0)  ,  DataTime: 0.008 (0.005)  ,  ForwardTime: 0.310  ,  TotalTime: 0.323  ,  Loss/total: 1.80743  ,  Loss/giou: 0.67920  ,  Loss/l1: 0.08980  ,  IoU: 0.36492
[train: 1, 1850 / 3750] FPS: 49.5 (50.0)  ,  DataTime: 0.008 (0.005)  ,  ForwardTime: 0.310  ,  TotalTime: 0.323  ,  Loss/total: 1.80348  ,  Loss/giou: 0.67798  ,  Loss/l1: 0.08950  ,  IoU: 0.36574
[train: 1, 1900 / 3750] FPS: 49.5 (50.1)  ,  DataTime: 0.008 (0.005)  ,  ForwardTime: 0.310  ,  TotalTime: 0.323  ,  Loss/total: 1.80144  ,  Loss/giou: 0.67738  ,  Loss/l1: 0.08934  ,  IoU: 0.36666
[train: 1, 1950 / 3750] FPS: 49.5 (49.8)  ,  DataTime: 0.008 (0.005)  ,  ForwardTime: 0.310  ,  TotalTime: 0.323  ,  Loss/total: 1.79898  ,  Loss/giou: 0.67667  ,  Loss/l1: 0.08913  ,  IoU: 0.36770
[train: 1, 2000 / 3750] FPS: 49.5 (49.2)  ,  DataTime: 0.008 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.323  ,  Loss/total: 1.79549  ,  Loss/giou: 0.67540  ,  Loss/l1: 0.08894  ,  IoU: 0.36829
[train: 1, 2050 / 3750] FPS: 49.5 (49.9)  ,  DataTime: 0.008 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.323  ,  Loss/total: 1.79309  ,  Loss/giou: 0.67482  ,  Loss/l1: 0.08869  ,  IoU: 0.36922
[train: 1, 2100 / 3750] FPS: 49.5 (50.2)  ,  DataTime: 0.008 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.323  ,  Loss/total: 1.78899  ,  Loss/giou: 0.67356  ,  Loss/l1: 0.08837  ,  IoU: 0.37014
[train: 1, 2150 / 3750] FPS: 49.5 (50.8)  ,  DataTime: 0.008 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.323  ,  Loss/total: 1.78585  ,  Loss/giou: 0.67250  ,  Loss/l1: 0.08817  ,  IoU: 0.37095
[train: 1, 2200 / 3750] FPS: 49.5 (50.4)  ,  DataTime: 0.008 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.323  ,  Loss/total: 1.78356  ,  Loss/giou: 0.67175  ,  Loss/l1: 0.08801  ,  IoU: 0.37204
[train: 1, 2250 / 3750] FPS: 49.6 (50.0)  ,  DataTime: 0.008 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.323  ,  Loss/total: 1.77949  ,  Loss/giou: 0.67026  ,  Loss/l1: 0.08779  ,  IoU: 0.37257
[train: 1, 2300 / 3750] FPS: 49.6 (49.4)  ,  DataTime: 0.008 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.323  ,  Loss/total: 1.77663  ,  Loss/giou: 0.66896  ,  Loss/l1: 0.08774  ,  IoU: 0.37270
[train: 1, 2350 / 3750] FPS: 49.6 (50.2)  ,  DataTime: 0.008 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.323  ,  Loss/total: 1.77373  ,  Loss/giou: 0.66788  ,  Loss/l1: 0.08759  ,  IoU: 0.37321
[train: 1, 2400 / 3750] FPS: 49.6 (49.3)  ,  DataTime: 0.008 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.323  ,  Loss/total: 1.77116  ,  Loss/giou: 0.66717  ,  Loss/l1: 0.08737  ,  IoU: 0.37424
[train: 1, 2450 / 3750] FPS: 49.6 (50.0)  ,  DataTime: 0.008 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.323  ,  Loss/total: 1.76935  ,  Loss/giou: 0.66670  ,  Loss/l1: 0.08719  ,  IoU: 0.37509
[train: 1, 2500 / 3750] FPS: 49.6 (49.6)  ,  DataTime: 0.008 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.323  ,  Loss/total: 1.76906  ,  Loss/giou: 0.66675  ,  Loss/l1: 0.08711  ,  IoU: 0.37590
[train: 1, 2550 / 3750] FPS: 49.6 (50.1)  ,  DataTime: 0.008 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.323  ,  Loss/total: 1.76651  ,  Loss/giou: 0.66603  ,  Loss/l1: 0.08689  ,  IoU: 0.37692
[train: 1, 2600 / 3750] FPS: 49.6 (49.8)  ,  DataTime: 0.008 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.323  ,  Loss/total: 1.76478  ,  Loss/giou: 0.66554  ,  Loss/l1: 0.08674  ,  IoU: 0.37742
[train: 1, 2650 / 3750] FPS: 49.6 (49.8)  ,  DataTime: 0.008 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.323  ,  Loss/total: 1.76090  ,  Loss/giou: 0.66396  ,  Loss/l1: 0.08659  ,  IoU: 0.37799
[train: 1, 2700 / 3750] FPS: 49.6 (49.6)  ,  DataTime: 0.008 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.323  ,  Loss/total: 1.75709  ,  Loss/giou: 0.66277  ,  Loss/l1: 0.08631  ,  IoU: 0.37906
[train: 1, 2750 / 3750] FPS: 49.6 (49.9)  ,  DataTime: 0.008 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.323  ,  Loss/total: 1.75540  ,  Loss/giou: 0.66233  ,  Loss/l1: 0.08615  ,  IoU: 0.37989
[train: 1, 2800 / 3750] FPS: 49.6 (50.1)  ,  DataTime: 0.008 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.323  ,  Loss/total: 1.75428  ,  Loss/giou: 0.66197  ,  Loss/l1: 0.08607  ,  IoU: 0.38056
[train: 1, 2850 / 3750] FPS: 49.6 (50.1)  ,  DataTime: 0.008 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.323  ,  Loss/total: 1.75145  ,  Loss/giou: 0.66103  ,  Loss/l1: 0.08588  ,  IoU: 0.38140
[train: 1, 2900 / 3750] FPS: 49.6 (49.9)  ,  DataTime: 0.008 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.323  ,  Loss/total: 1.74698  ,  Loss/giou: 0.65928  ,  Loss/l1: 0.08568  ,  IoU: 0.38192
[train: 1, 2950 / 3750] FPS: 49.6 (49.8)  ,  DataTime: 0.008 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.323  ,  Loss/total: 1.74611  ,  Loss/giou: 0.65885  ,  Loss/l1: 0.08568  ,  IoU: 0.38236
[train: 1, 3000 / 3750] FPS: 49.6 (50.4)  ,  DataTime: 0.008 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.322  ,  Loss/total: 1.74347  ,  Loss/giou: 0.65775  ,  Loss/l1: 0.08560  ,  IoU: 0.38264
[train: 1, 3050 / 3750] FPS: 49.6 (49.4)  ,  DataTime: 0.008 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.322  ,  Loss/total: 1.74135  ,  Loss/giou: 0.65697  ,  Loss/l1: 0.08548  ,  IoU: 0.38339
[train: 1, 3100 / 3750] FPS: 49.6 (50.3)  ,  DataTime: 0.008 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.322  ,  Loss/total: 1.73905  ,  Loss/giou: 0.65618  ,  Loss/l1: 0.08534  ,  IoU: 0.38402
[train: 1, 3150 / 3750] FPS: 49.6 (49.9)  ,  DataTime: 0.008 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.322  ,  Loss/total: 1.73732  ,  Loss/giou: 0.65580  ,  Loss/l1: 0.08515  ,  IoU: 0.38490
[train: 1, 3200 / 3750] FPS: 49.6 (49.8)  ,  DataTime: 0.008 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.322  ,  Loss/total: 1.73456  ,  Loss/giou: 0.65483  ,  Loss/l1: 0.08498  ,  IoU: 0.38548
[train: 1, 3250 / 3750] FPS: 49.6 (49.7)  ,  DataTime: 0.008 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.322  ,  Loss/total: 1.73201  ,  Loss/giou: 0.65380  ,  Loss/l1: 0.08488  ,  IoU: 0.38584
[train: 1, 3300 / 3750] FPS: 49.6 (50.1)  ,  DataTime: 0.008 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.322  ,  Loss/total: 1.73004  ,  Loss/giou: 0.65325  ,  Loss/l1: 0.08471  ,  IoU: 0.38661
[train: 1, 3350 / 3750] FPS: 49.6 (49.8)  ,  DataTime: 0.008 (0.005)  ,  ForwardTime: 0.309  ,  TotalTime: 0.322  ,  Loss/total: 1.72824  ,  Loss/giou: 0.65262  ,  Loss/l1: 0.08460  ,  IoU: 0.38720
